,input,target
83,busy,were you in jail ?
84,were you in jail ?,maybe .
85,maybe .,no you weren t
86,no you weren t,then why d you ask ?
87,then why d you ask ?,why d you lie ?
88,i should do this .,do what ?
89,do what ?,this .
90,start a band ?,my father wouldn t approve of that that
91,oh so now you think you know me ?,i m gettin there
92,who ?,bianca
93,what are you doing here ?,i heard there was a poetry reading .
94,i heard there was a poetry reading .,you re so
95,you re so,pleasant ?
96,c mon . it s not that bad,try lookin at it from this angle
97,put your right foot there,forget it . i m stayin .
98,a soft side ? who knew ?,yeah well don t let it get out
99,yeah well don t let it get out,so what s your excuse ?
100,so what s your excuse ?,acting the way we do .
101,acting the way we do .,yes
102,something like that,then you screwed up
103,then you screwed up,how ?
104,how ?,you never disappointed me .
105,you up for it ?,for . . . ?
106,what ?,no one else knows
107,is that a request or a command ?,you know what i mean
108,you know what i mean,no .
109,no .,no what ?
110,no what ?,no i won t go with you
111,no i won t go with you,why not ?
112,it s just something i had . you know,oh huh
113,my grandmother s .,what ?
114,i thought you were punishing me .,why can t we agree on this ?
115,why can t we agree on this ?,because you re making decisions for me .
116,parts of it .,which parts ?
117,hey there . tired of breathing ?,hi .
118,hi .,cool pictures . you a fan ?
119,cool pictures . you a fan ?,yeah . i guess .
120,you think ?,oh yeah .
121,right .,kat a fan too ?
122,kat a fan too ?,yeah . . .
123,say it,what ?
124,what ? !,good enough .
125,ever been to club skunk ?,yeah .
126,in the microwave .,make anyone cry today ?
127,have a great time honey !,but who what ?
128,what just happened ?,your daughters went to the prom .
129,your daughters went to the prom .,did i have anything to say about it ?
130,did i have anything to say about it ?,absolutely not .
131,absolutely not .,that s what i thought
132,he s the devil s child . . .,we ll all go crazy . . .
133,your life and that of others !,if they agree to follow me yes .
134,i could be gone for years .,i know .
135,she said yes .,thank god . . .
136,can t you stay with us a little ?,i am busy inside .
137,my letters of appointment .,appointment to what ?
138,i want to go with you !,there ll be a time .
139,no . . .,no ?
140,you come ! you speak first !,tell the chief we thank him .
141,tell the chief we thank him .,chief knows .
142,chief says how many ?,thousands .
143,thousands .,why ?
144,to bring the word of god .,chief says he has a god .
145,chief says he has a god .,. . . and also to bring medicine .
146,. . . and also to bring medicine .,chief says . . .
147,that s what it says .,how did you manage it ?
148,all of them ! just lies !,colon ! don t !
149,i suppose we re both old men now .,you ll always be older than me father .
150,i knew you would .,new worlds create new people .
151,new worlds create new people .,oh ? so you are a new man ?
152,we can t raise the wheel without it .,my horse doesn t work .
153,what do you read ?,twenty eight .
154,where can i meet this man ?,immediately .
155,six days ago yes .,you must be mad . . . !
156,you think i don t know that ?,we re lost !
157,we re lost !,the land is there . i know it !
158,you tell that to them !,you re right . let the men decide .
159,then what do you suggest don sanchez ?,he must be replaced .
160,then why ?,because he is not afraid of me .
161,don t say anything .,where are we going ?
162,where are we going ?,i m coming with you .
163,i m coming with you .,yes . yes come with me !
164,you bring the cigarettes ?,oh sure .
165,no . no way .,but it s . . .
166,are you married ?,divorced .
167,i can t take you to my place .,somewhere else ?
168,so . . .the station is empty ?,yeah . this way .
169,you considered becoming a prostitute ?,yes i considered it .
170,yes i considered it .,did you ever turn tricks before ?
171,did you ever turn tricks before ?,no .
172,no .,what about back home ?
173,what about back home ?,no .
174,so you were never a prostitute ?,what are you asking me ?
175,are you alright ?,i still can t believe eddie s gone .
176,i still can t believe eddie s gone .,i m sorry .
177,is he your boyfriend ?,ludwig ? he s gay are you jealous ?
178,ludwig ? he s gay are you jealous ?,if i was your boyfriend i might be .
179,you better get packed .,right .
180,do you have coffee ?,in the kitchen .
181,in the kitchen .,i ll make some for us .
182,i ll make some for us .,i ll get my clothes .
183,oh .,it was my decision not his .
184,who did cause and origin ?,who do you think chief ? !
185,what do you mean cleaned up ?,i let her take a shower .
186,chief mind if i take her ?,okay . but not water sports .
187,did the d .a . videotape her deposition ?,yeah . he finished awhile ago .
188,coffee for me i gotta slow down .,vodka tonic .
189,when ?,tomorrow . at lunch .
190,tomorrow . at lunch .,you ready ?
191,where is she ?,takin a bath .
192,takin a bath .,any i .d . ?
193,only one guys checked in ?,yeah .
194,are you hit ?,no . i m okay .
195,no .,did you tell him you did ?
196,boy she s so popular all the sudden .,what are you saying ?
197,you know what that is right ?,no what is it ?
198,watch the news ?,nah i musta missed it .
199,nah why should you ?,i don t even watch tv .
200,pretty .,hmmmm .
201,you re polish ?,my folks are .
202,my folks are .,stay here .
203,you goin to the escort service ?,you got any better ideas ?
204,you got any better ideas ?,mind if i ride along with you ?
205,mind if i ride along with you ?,this has nothing to do with your fire .
206,two heads .,better than one .
207,you thirsty ?,i m on duty .
208,why not ?,something back home ?
209,you wanna talk to her alone ?,yeah .
210,yeah .,what would your girlfriend think of that ?
211,what would your girlfriend think of that ?,i don t have a girlfriend .
212,i don t have a girlfriend .,my point exactly .
213,my point exactly .,i m serious here .
214,i m serious here .,so am i .
215,so . . .who s nicky ?,what do you want ?
216,i kill someone famous .,then do it asshole .
217,how many victims are up there ?,there are two bodies found at this point .
218,there are two bodies found at this point .,can we go up to the crime scene ?
219,eddie are you okay ?,yeah . now s not a good time .
220,yeah . now s not a good time .,alright .
221,alright .,alright ?
222,alright ?,alright .
223,alright .,alright .
224,alright .,okay .
225,hey honey .,hey .
226,that s good .,yeah .
227,yeah .,well that s great .
228,okay til tonight .,tonight .
229,tonight .,you promise ?
230,you promise ?,yeah . i promise .
231,yeah yeah . good thing .,okay .
232,okay .,see you later . good luck .
233,see you later . good luck .,thank you .
234,thank you .,don t be late .
235,ready ?,keep them out of my way .
236,keep them out of my way .,okay . you ready ?
237,okay . you ready ?,yeah yeah . jesus .
238,you stuff sausage in it .,and what do you do with the bones ?
239,and what do you do with the bones ?,dog food .
240,are you married ?,no . are you proposing ?
241,tell him to put his gun down !,let her go ! let her go ! !
242,hi i m honey .,where s czech girl ?
243,next . could i see your documents please ?,yes sir .
244,two weeks holiday .,how much money are you carrying with you ?
245,how much money are you carrying with you ?,i have five hundred dollars .
246,yes .,please join us . come on forward .
247,please join us . come on forward .,is there a problem ?
248,how long are you planning to stay ?,two weeks .
249,two weeks .,i d like to speak for himself okay ?
250,i d like to speak for himself okay ?,he doesn t speak english .
251,don t fool around .,okay .
252,did you hear what i said ?,i want to document my trip to america .
253,what ?,smell like chemicals . . .for smoking drugs .
254,speak english !,you said speak czech !
255,get in the bathroom !,whatever we do we fuck her right ?
256,shut up .,does it hurt ?
257,oh shit . i hate looking at that !,don t want to film this ?
258,let me get a shot of it .,sit down !
259,i m serious .,shut up . look !
260,you got that ?,no i don t get that !
261,we spent it !,ha . ha .
262,i can get you a job .,a job ?
263,a job ?,yes the money is good .
264,yes the money is good .,as a plumber ? !
265,as a plumber ? !,it s easy to learn .
266,robert . . . ?,what are you doing here ?
267,what are you doing here ?,you ve got a call .
268,yeah ?,paulie you ve got kids right ?
269,well he . . .,i want to hear everything he said .
270,i want to hear everything he said .,i m trying to tell you .
271,i m trying to tell you .,alright . go ahead .
272,a cheap hotel .,what are you coming here to do ?
273,what are you coming here to do ?,i m here for movies .
274,no . go ahead .,thanks . appreciate it .
275,what was that ?,evidence . of a homicide .
276,i ll take him .,no way ! he s mine !
277,no way ! he s mine !,we re takin him . don t argue !
278,we re takin him . don t argue !,he s my collar !
279,he s my collar !,well he killed my partner !
280,fire department ? firemen don t carry guns .,oh yeah ? guess again .
281,oh yeah why ?,cause eddie woulda locked him up by now !
282,mouth s clean too .,clean ?
283,clean ?,don t blow your nose !
284,he knew all along .,what ? ?
285,yeah ?,maybe you can be his stand in .
286,bobby bobby ! where re you hit ? !,it hurts . aw jesus !
287,it hurts . aw jesus !,lay down . stay down bobby .
288,how was it ?,not good .
289,get outta here !,what the hell happened ?
290,continued,she s wonderful .
291,right . just a sec .,okay .
292,okay .,okay come on down .
293,really .,yes .
294,that seems very unlikely .,yes i thought so .
295,i know . it would be almost inconceivable .,but not completely inconceivable ?
296,you re kidding .,no .
297,hal ?,yes .
298,i m sorry about the misunderstanding hal .,well don t worry about it .
299,well don t worry about it .,and don t you worry about it .
300,and don t you worry about it .,is your confidence in me fully restored ?
301,is your confidence in me fully restored ?,yes it is hal .
302,too bad about frank isn t it ?,yes it is .
303,continued,did they have any explanation for this ?
304,continued,well what is it ?
305,i m having a party tomorrow .,yes i know that sweetheart .
306,yes i know that sweetheart .,are you coming to my party ?
307,when are you coming home ?,in three days darling i hope .
308,where is mrs . brown ?,she s in the bathroom .
309,yes daddy .,bye bye now sweetheart .
310,bye bye now sweetheart .,goodbye daddy .
311,oh thank you very much .,thank you .
312,thank you .,well how s it going back there ?
313,oh that s such a delightful age .,how is gregor ?
314,are you quite sure ?,yes really thank you very much .
315,that s right .,i see .
316,that s true .,thank you very much hal .
317,i understand .,hal maintain normal e .v .a . condition .
318,hal maintain normal e .v .a . condition .,roger .
319,roger .,hal check all airlock doors secure .
320,yeah ?,i want to pick up my car .
321,name ?,hammond .
322,this is three years old .,yeah i ve been busy .
323,yeah .,vodka .
324,vodka .,maybe you better have a black russian .
325,i want to drive awhile .,i ain t tired yet .
326,pay money ?,yeah dummy . money .
327,yeah dummy . money .,i never paid for it in my life .
328,you re in a hurry .,yeah i been waiting three years .
329,yeah i been waiting three years .,you just quit bein a priest or somethin ?
330,i hear you ve got visitors .,would you guys . . .
331,you re gonna help us take him .,no chance .
332,i got a lot to protect .,bullshit .
333,luther was part of the gang ?,what gang you talkin about jack ?
334,hey this works pretty good .,thank you .
335,thank you .,want to try it again ?
336,now where we goin convict ?,mission district . gonna find us an indian .
337,i don t give out the details .,last night two nights ago three ?
338,last night .,you have a good time ?
339,there .,must be billy s girl .
340,must be billy s girl .,come on .
341,how much ?,half a million .
342,half a million .,jesus .
343,we split ?,not likely convict .
344,not likely convict .,you gonna let me keep any of it ?
345,you stay with me . . .,no way . . .
346,why ?,luther s on the move . . .
347,notice something funny about that bus ?,yeah . it missed the last four stops .
348,it s late they re closing . . .,don t worry about it .
349,hey there she is . . .,whatever play i maker just back me up .
350,jack ?,yeah ?
351,what the bell happened ?,i lost them that s what happened .
352,i lost them that s what happened .,how did they get away ?
353,which one pulled the trigger ?,the indian . i was about yards away .
354,the indian . i was about yards away .,you couldn t get to him ?
355,tell me that s not the same guy .,hey . . . dick tracy .
356,aw bullshit you heard wrong .,doesn t look like it .
357,bullshit red tape .,i m heading out . how about you ?
358,hey you re right .,you re hopeless .
359,you re hopeless .,that s the way i see it too .
360,i m all wet .,what s wrong with that ?
361,you know something jack you really are hopeless .,that s the way i see it too .
362,that s the way i see it too .,call me later .
363,call me later .,you sure you want me to ?
364,great place for lunch .,yeah one of my favorites .
365,yeah one of my favorites .,you made the front page .
366,jack wait . . .,just a second that s all !
367,hello .,hi it s me . . .
368,hi it s me . . .,fuck you .
369,hey i don t believe it .,hiya kid .
370,three more hours . . .,where is he ?
371,you re impossible . . .,that s what i always say .
372,hard man to live with .,how would you know ?
373,how would you know ?,hey two days with him is enough .
374,hey two days with him is enough .,that s no bull .
375,hey . . .,shut up .
376,stall .,what do you want ?
377,how ya doin ?,can t complain .
378,can t complain .,we got a lot to talk about .
379,we got a lot to talk about .,yeah old times .
380,surprise luther .,whaddya want ? i thought you were locked up
381,don t give me this we were partners .,billy go ahead break it . . .
382,let her go .,first the money .
383,how you doing man ?,not bad not bad .
384,you want to go outside ?,naw right here s okay .
385,don t mess with me . how much ?,five bills .
386,five bills .,five . on credit .
387,five . on credit .,this ain t a credit business .
388,give it back .,try and take it .
389,. . .we re saved !,i m fucked !
390,excuse me i m looking for a priest .,weddings are one floor down . congratulations .
391,who are you ?,i brought the girl remember ?
392,i brought the girl remember ?,the girl ?
393,he s a she !,you noticed . . .
394,they all like this in your family father ?,she s an exception . .
395,it means never without my permission .,that s what i thought .
396,what kind of mission ?,we have to save the world .
397,we have to save the world .,good luck . .
398,good luck . .,of course .
399,leeloo s in trouble ?,when is she not in trouble ?
400,it s a miracle ! ! !,what is ?
401,they really made her . . .,perfect .
402,yeah ?,hey bud ! finger here .
403,i just found a picture of you .,how do i look ?
404,how do i look ?,like shit .
405,uh . . . at least fifty .,in your dreams ! see you tonight !
406,when evil returns so shall we .,we will be ready lord .
407,yeah ?,have you pulled yourself together ?
408,have you pulled yourself together ?,. . .not yet .
409,i m sorry . .,this is a police control action . .
410,. . . . . .,found it ?
411,. . .hi .,does it get any better or what !
412,you know how to fly this thing ?,it s like a cab isn t it ?
413,what mission ?,to save the world .
414,to save the world .,where have i heard this song before ?
415,don t you open your messages ?,i ve had enough good news for today
416,old tricks are the best tricks eh ?,i m not going .
417,i m not going .,why not ?
418,. . .shit !,what is it ?
419,it s my wife .,i thought you were divorced .
420,three of us will never fit in there !,oh yes you will . . .
421,you hear that ?,cornelius . .
422,cornelius . .,oh god !
423,finished what ?,learning language .
424,learning language .,which one ?
425,which one ?,all .
426,you noticed . .,ok you can turn around !
427,it s up to you now angel !,i m so tired . . .
428,. . .like love . . .,exactly .
429,tell me . . .,i love you . . .
430,the cash man !,been here long ?
431,thanks . .,you re welcome . .
432,this is all that survived ?,actually only one cell survived . .
433,actually only one cell survived . .,have you identified it ?
434,they just landed in the desert .,how much time is left ?
435,is that better ?,perfect mr . president .
436,options .,wait or act .
437,got it .,how s our deal coming along ?
438,welcome home .,do you know how much i missed you ?
439,i m not accusing you . . .,well i m not smoking okay ?
440,well i m not smoking okay ?,okay i believe you .
441,i love you .,i love you .
442,. . . what s going on ?,just do it amy please go .
443,i wanted to call . i couldn t .,you couldn t ?
444,you couldn t ?,you don t understand . . .
445,i don t know what to say,you re killing me . . .
446,you re killing me . . .,don t . . .
447,who are you calling ?,mrs . christian .
448,mrs . christian .,what ?
449,anything harder ?,there s nothing harder .
450,there s nothing harder .,snuff ?
451,snuff ?,what you see is what i got mister .
452,bullshit .,i m telling you . . .
453,dino . . .,nobody knows anything .
454,what the fuck . . . !,i promised him to machine .
455,a fellow investor .,hmm .
456,that s five thousand dollars .,is it ?
457,and they are ?,i want to watch you work .
458,i want to watch you work .,i ll consider it .
459,i d rather you didn t .,what s the problem ?
460,what s the problem ?,i m camera shy .
461,where s that ?,brooklyn . don t be late .
462,you brought the money ?,right here .
463,excellent .,where are the women ?
464,where are the women ?,they should be here any minute .
465,what are you . . . ?,take out your gun !
466,you re a dead man .,leave him alone .
467,leave him alone .,fuck off .
468,call me tom .,alright tom .
469,i figured you share information .,we do .
470,celebrity films .,eddie .
471,eddie .,yeah who s this ?
472,yeah who s this ?,i know what you did .
473,i know what you did .,what ?
474,what ?,i know what you did .
475,i know what you did .,who is this .
476,i m gonna kill you .,don t bore me with that bullshit .
477,don t bore me with that bullshit .,how d you find me here ?
478,don t ask questions .,fuck you !
479,starting to recognize a pattern ?,what do you want ?
480,what do you want ?,who is machine ?
481,who is machine ?,i don t know . . .
482,i don t know . . .,i want his name .
483,i want his name .,i told you i don t know .
484,yeah .,how much did he pay you ?
485,how much did he pay you ?,thirty thousand each that fucking cocksucker .
486,why ?,because we re going there .
487,stop talking .,you got absolute zero .
488,you got absolute zero .,show me where you buried her .
489,do it .,don t think i won t .
490,easy enough for you .,i never killed anyone .
491,of what sort ?,you are a private investigator ?
492,you are a private investigator ?,that s right .
493,they re no friends of mine .,except you re willing commit murder with them .
494,you re asking me why ?,i m asking .
495,you almost went over your limit .,fuck you .
496,give me the film .,you ll get it when we get there .
497,big date tonight ?,yeah . . . guess so .
498,how long you been working there ?,three four years .
499,i m not a cop .,you re a private eye . like shaft .
500,you re a private eye . like shaft .,not quite .
501,how much ?,how much do you make now ?
502,how much do you make now ?,four hundred a week off the books .
503,. . . hello . . . ?,wake up pops . your education begins tonight .
504,how old are you ?,twenty five .
505,twenty five .,where are your parents ?
506,where are your parents ?,i don t know where are yours ?
507,specialty product .,you re learning .
508,you re learning .,where does he sell it ?
509,it s their presidential suite .,great .
510,i told you i can t not yet .,you don t have any other choice .
511,hello . . . ?,i m here .
512,hello ?,mrs . christian tom welles here .
513,mrs . christian tom welles here .,how are you ? having any luck ?
514,what was she running from ?,i don t know .
515,why do you think he did it ?,it got to be too much for him .
516,we re all like that .,are you religious ?
517,are you religious ?,no .
518,no .,you should be .
519,what is this ?,those are her belongings .
520,those are her belongings .,her belongings ?
521,none too discreet is he ?,no sir he is not .
522,no you may not .,okay . fine .
523,alice you think you can leave ?,what s wrong ?
524,what s wrong ?,kincaid and joey died last night .
525,kincaid and joey died last night .,what ?
526,you alright ?,kristen . . .
527,i m sure they re around .,yeah i m not so sure .
528,we have matching luggage .,what ?
529,you ve been up all night ?,that obvious huh ?
530,that obvious huh ?,then you saw him too ?
531,no . . .,you re his sister right ?
532,i ve been working double shifts .,extra money huh ?
533,how long have you been awake ?,three days .
534,not really .,is there something we can do ?
535,you look great !,save it for later . come on !
536,rick please .,alright i think i see salvation . . .
537,it was freddy .,enough of that crap .
538,t t thanks alice . . .,earth to alice . . .
539,i don t get it .,let me talk to you .
540,hey man we re all sorry . . .,she knew she was gonna die .
541,something wrong with the stairs ?,avoid all contact day .
542,avoid all contact day .,what ?
543,what is it ?,oh god ! he killed them !
544,i gotta get out of here .,you just stay put . you need rest .
545,excuse us dear .,it s okay dan
546,shouldn t you be in your room jacob ?,it s lonely in there in my room .
547,it s lonely in there in my room .,my name is . . .
548,i m sorry your boyfriend got killed .,how did you know that ?
549,is that who you re waiting for ?,no . . .
550,who says i don t like you ?,my friend with the funny hand .
551,where is he ?,he s inside you where he hides .
552,hi beautiful .,jesus ! don t do that !
553,jesus ! don t do that !,sorry babe .
554,you re right .,there you go . love you .
555,there you go . love you .,me too .
556,where are we going ?,to take a picture .
557,very funny .,alice . . .
558,alice !,i ve got to go .
559,but dad,now .
560,you do good work alice .,so did dan .
561,mark are you okay ?,yeah . i m just aces .
562,then get out !,mark !
563,who s jacob ?,my baby !
564,my baby !,what you named it already ?
565,they think i m nuts .,that s their problem .
566,poor woman . . .,no shit .
567,stop saying that it s bullshit .,i want to talk about the baby .
568,vomit ?,faint .
569,it s okay .,stick around please ?
570,you too ?,he invited me to his house last night .
571,what is it ?,your out . this came for you .
572,your out . this came for you .,my father ! he s not ?
573,but if they u do u ?,i don t know .
574,you ve got to let us try skipper,us ?
575,yeah ?,listen ! hear that ?
576,you hear that ?,the sound again ?
577,somewhere down there ?,wonder where powell and carney are ?
578,wonder where powell and carney are ?,we ll have to look for them later .
579,well ?,i m with u you ! u
580,is there any way out of it ?,seems to be all around . . .
581,seems to be all around . . .,what about down ?
582,what about down ?,i . . .don t know !
583,what course skipper ?,right at our one eyed friend !
584,as we near the pole . . .,there s got to be an explanation !
585,what s the running time ?,thirty four seconds !
586,right u at u him ?,that s what i said !
587,straight to the pole at almost fifty knots !,nothing we can do now .
588,swell !,your friend was to remain where he was !
589,he did !,i am afraid not . therefore
590,well i ll be !,i ll be another !
591,twombley involved ?,no .
592,what are you boys up to ?,same old shit .
593,i plan to . soon .,how soon ?
594,how soon ?,this spring .
595,you heard the news .,i hear twombley got shot .
596,i hear twombley got shot .,yeah .
597,he s on to us !,shit ! what are we gonna do ?
598,you can t buy wade off .,we bought you .
599,we bought you .,that was me .
600,if you get it ?,yeah .
601,yeah .,you might not kill it .
602,you might not kill it .,you think so .
603,and you ll get your extra hundred bucks .,wonderful !
604,i used to play ball .,yeah ?
605,you played for the sox ?,double a . new britain .
606,double a . new britain .,oh .
607,really .,they said .
608,they said .,hmm .
609,safety on ?,yeah .
610,yeah .,this way .
611,this way .,sun s gettin high .
612,bastard s got his high beams on .,shit .
613,where d twombley get shot ?,in the chest .
614,in the chest .,no i mean whereabouts .
615,the ambulance guys lugged him up .,you stayed away ?
616,you stayed away ?,yeah .
617,yeah .,where d you get the blood ?
618,where d you get the blood ?,what blood ?
619,sure you did .,what ?
620,what ?,saw him do it ?
621,i m fucking out of here .,lawford ?
622,why do they do that ?,do what ?
623,do what ?,you know .
624,you know .,break stuff ?
625,break stuff ?,yeah . it s stupid .
626,yeah . it s stupid .,i guess they re stupid .
627,was it funny ?,to us it was .
628,to us it was .,but it s not funny now .
629,i bet you did lots of bad things .,what are you talking about ?
630,what are you talking about ?,i just think you used to be bad .
631,it s not that .,what then ?
632,what then ?,it s stupid .
633,it s stupid .,it s fun .
634,no .,no what ?
635,i called mommy .,what ? you called mommy ? just now ?
636,what ? you called mommy ? just now ?,yes .
637,yes .,jesus why ?
638,it s pretty old .,it belongs to pop .
639,it belongs to pop .,pop ?
640,pop ?,grandpa . my father . it s his .
641,grandpa . my father . it s his .,oh .
642,no .,what do you want then ?
643,what do you want then ?,nothing .
644,okay .,fine .
645,please don t cry . please honey .,what are you sorry for ?
646,i want to go home .,you can t .
647,that s illegal you know .,i know .
648,i know .,you re a policeman .
649,jill please it s alright . nothing happened .,i want to go home .
650,i want to go home .,okay let s go home then .
651,his son in law damn near killed me .,huh ?
652,you don t want the extra police pay ?,i m not saying that .
653,what s the hurry ?,a hunting accident . jack and twombley .
654,a hunting accident . jack and twombley .,huh ?
655,huh ?,i figured you already heard .
656,how you holding up wade ?,i m fine fine .
657,i saw mel gordon in here this morning .,so ?
658,i won t . you interested ?,maybe .
659,maybe .,you and mel gordon ?
660,you and mel gordon ?,could be .
661,lillian !,where s jill ?
662,yeah .,she s grown up some hasn t she ?
663,we should talk .,we ve done all our talking wade .
664,we ve done all our talking wade .,it s just . . .
665,yeah lots .,see . get your boots .
666,see . get your boots .,hi honey .
667,did you get his number ?,i know who it is .
668,i know who it is .,good . who ?
669,good . who ?,mel gordon .
670,mel gordon .,i still don t understand
671,new hat ? jill s up i see .,for a while .
672,for a while .,how s she doing ?
673,how s she doing ?,okay . she s fine .
674,see you tomorrow maybe .,you okay ?
675,you okay ?,yeah .
676,you okay ?,yeah .
677,yeah .,i m sorry about what i said .
678,i m sorry about what i said .,said what ?
679,forget it .,i m sorry .
680,you don t mean that .,yeah . i mean that .
681,call me .,tonight . let s get together .
682,tonight . let s get together .,okay .
683,money .,jack doesn t need money .
684,alright . i ll think about it .,good .
685,strange .,think they re alright ?
686,think they re alright ?,of course ! i would ve heard .
687,of course ! i would ve heard .,how ?
688,how ?,i don t know for christ s sake !
689,this is nuts .,wade .
690,there s a furnace .,you re not using it today ?
691,it makes me sad .,can ?
692,it don t look right .,what ?
693,jack ?,the other guy .
694,his office . you mean my old office .,well i guess that s what he said .
695,well i guess that s what he said .,he got his deer yet ?
696,just do it .,atta go .
697,nothing .,you no good pup !
698,where s ma ?,she s coming .
699,is there something wrong with the phone ?,in the living room .
700,love ! i m made of love !,call it what you want .
701,call it what you want .,everything you know is from me .
702,everything you know is from me .,yeah .
703,yeah .,bang !
704,bang !,you and me .
705,who ?,twombley .
706,twombley .,no shit .
707,no shit .,you think jack shot him ?
708,you think jack shot him ?,well it was an accident .
709,lillian was here . in lawford .,huh ?
710,huh ?,the night before the shooting .
711,the night before the shooting .,how was she ?
712,yeah i guess .,get some sleep .
713,no thanks . i don t drink .,yeah . i forgot .
714,what about margie ?,what about her ?
715,what about her ?,well do you still plan to get married ?
716,which is ?,that it wasn t an accident .
717,that it wasn t an accident .,then who shot him ?
718,motive . you gotta have a motive .,money .
719,well you aren t the president dear .,yeah no duh .
720,i m sure he s busy .,don t you even want to ask ?
721,alice . . .,mom just this once give it a rest .
722,some kids were teasing you ?,that s not really the point .
723,mom ?,yes dear ?
724,it was the experience of a lifetime .,how bout a hug for the old man .
725,alice !,daddy . . .
726,daddy . . .,alice . . . i . . .
727,how you doing sweetie ?,been better dad . . . you ?
728,there they are !,okay i m slowing us down .
729,do you see the maintenance panel ?,got it .
730,you read my mind .,put your pilot on .
731,put your pilot on .,he s busy being dead .
732,who s flying the fucking plane ?,i m doing what i can .
733,got it .,stay cool .
734,the chief justice ? what on earth for ?,to swear you in as president .
735,yes mr . president .,why ?
736,why ?,because it is my duty .
737,the rest of the secret service ?,dead .
738,dead .,how many others killed ?
739,how many others killed ?,nine .
740,nine .,any of us ?
741,please tell me your name .,maria . . . maria mitchell .
742,you re pointing a gun at me .,very good . thank you ms . mitchell .
743,now or he dies please .,come on alice .
744,what do you know of my husband ?,i know he left you behind .
745,do you have to be so brutal ?,yes
746,yes,why ? do you enjoy it ?
747,no .,say something dear .
748,four . . .,jim . . .
749,jim . . .,three . . .
750,stop .,you ll do it ?
751,i ll not going without my family .,yes sir .
752,sir we stay with the president .,that isn t necessary .
753,may i speak to you for a moment ?,can t it wait ?
754,can t it wait ?,no mr . president . it can t .
755,you know what ?,what ?
756,what ?,i miss you . and i miss her .
757,what are you doing ?,flying the plane .
758,the fax machines .,excuse me ?
759,excuse me ?,the fax machines .
760,where are we sending it ?,white house situation room .
761,someone should give you a raise .,actually sir you could be that someone .
762,what s going on ?,we re under attack .
763,we re under attack .,where s my family ?
764,where s my family ?,we re handling it sir .
765,one .,but . . .
766,but . . .,two . . . three . go !
767,who can i say is calling ?,this is the president .
768,this is the president .,yeah right .
769,you give me ulcers .,that s my job .
770,iraq sir . we re over iraq .,iraq ? shep you re fired .
771,what ?,i just wish it was that simple .
772,forget it . i was reading .,i was reading too .
773,i was reading too .,what s the story ?
